"OrderID,CustomerID,ProductID,SalesDate,QuantitySold,UnitPrice,TotalSales,TotalCost"
"1503,301,163,2023-02-01,17,468.26,7960.42,3184.1"
"295,633,117,2023-05-27,16,244.19,3907.04,1562.88"
"3198,458,3,2023-11-16,1,316.54,316.54,126.62"
"3371,287,61,2023-03-12,10,269.98,2699.8,1079.9"
"1958,61,157,2023-02-26,14,361.05,5054.7,2021.88"
"2239,203,3,2023-07-16,18,316.54,5697.72,2279.16"
"659,328,77,2023-09-28,3,24.41,73.23,29.28"
"3626,647,125,2023-03-26,16,89.21,1427.36,570.88"
"2054,319,131,2023-01-13,16,308.57,4937.12,1974.88"
"500,291,74,2023-07-09,9,65.6,590.4,236.16"
"2065,532,53,2023-12-29,1,471.48,471.48,188.59"
"933,299,157,2023-07-26,9,361.05,3249.45,1299.78"
"2820,113,145,2023-07-11,19,345.82,6570.58,2628.27"
"959,436,147,2023-09-19,9,422.03,3798.27,1519.29"
"2085,388,73,2023-08-31,4,59.63,238.52,95.4"
"47,480,86,2023-11-14,7,293.48,2054.36,821.73"
"2342,961,26,2023-12-02,13,118.18,1536.34,614.51"
"3156,389,141,2023-05-27,5,64.32,321.6,128.65"
"2115,443,160,2023-05-08,11,479.53,5274.83,2109.91"
"1605,970,39,2023-03-15,4,205.79,823.16,329.28"
"129,955,58,2023-01-26,8,465.53,3724.24,1489.68"
"2692,937,15,2023-08-10,17,439.85,7477.45,2990.98"
"1004,555,107,2023-03-20,9,390.03,3510.27,1404.09"
"2906,221,12,2023-11-21,17,132.23,2247.91,899.13"
"3517,884,62,2023-01-29,9,390.32,3512.88,1405.17"
"1693,870,97,2023-10-29,9,391.51,3523.59,1409.4"
"2080,133,170,2023-01-12,9,365.72,3291.48,1316.61"
"3834,166,149,2023-09-01,6,449.8,2698.8,1079.52"
"119,81,72,2023-09-09,20,374.46,7489.2,2995.6"
"3516,637,172,2023-03-12,13,23.98,311.74,124.67"
"324,542,164,2023-06-21,4,236.27,945.08,378.04"
"2529,708,34,2023-07-01,15,223.0,3345.0,1338.0"
"3155,224,65,2023-02-18,6,414.07,2484.42,993.78"
"3698,349,167,2023-02-01,10,351.25,3512.5,1405.0"
"2961,975,113,2023-03-13,1,260.49,260.49,104.2"
"2939,871,58,2023-10-14,20,465.53,9310.6,3724.2"
"1423,306,76,2023-07-20,17,449.17,7635.89,3054.39"
"2067,779,198,2023-03-04,16,355.24,5683.84,2273.6"
"1581,48,59,2023-03-04,6,243.48,1460.88,584.34"
"2784,744,18,2023-02-08,14,364.39,5101.46,2040.64"
"752,407,48,2023-12-04,18,277.12,4988.16,1995.3"
"1638,550,168,2023-06-13,6,217.29,1303.74,521.52"
"3064,948,124,2023-08-12,9,324.36,2919.24,1167.66"
"118,622,89,2023-06-24,16,185.63,2970.08,1188.0"
"2008,822,125,2023-05-26,5,89.21,446.05,178.4"
"878,147,134,2023-11-05,9,48.78,439.02,175.59"
"3836,359,185,2023-09-14,3,419.54,1258.62,503.46"
"2307,341,85,2023-03-08,12,69.75,837.0,334.8"
"1881,497,3,2023-11-08,8,316.54,2532.32,1012.96"
"79,914,37,2023-09-02,11,426.53,4691.83,1876.71"
"3632,567,58,2023-04-09,12,465.53,5586.36,2234.52"
"1685,402,142,2023-06-16,1,253.28,253.28,101.31"
"61,165,183,2023-01-22,15,282.41,4236.15,1694.4"
"1119,185,41,2023-01-18,4,181.06,724.24,289.68"
